user_id,item_id
0,558
0,150
0,1217
0,555
0,383
0,1766
0,1128
0,239
0,695
0,156
1,305
1,984
1,523
1,143
1,1253
1,388
1,1451
1,563
1,1204
1,1446
2,406
2,1131
2,395
2,160
2,476
2,879
2,698
2,97
2,1134
2,919
3,1930
3,1744
3,1517
3,1002
3,1165
3,598
3,2129
3,1665
3,1157
3,107
4,291
4,694
4,819
4,2002
4,514
4,1438
4,452
4,1063
4,925
4,1895
5,674
5,1204
5,193
5,687
5,1106
5,1633
5,902
5,1379
5,1048
5,1828
6,821
6,527
6,179
6,1733
6,572
6,1283
6,1775
6,1776
6,846
6,23
7,196
7,749
7,506
7,1434
7,1191
7,498
7,988
7,339
7,342
7,753
8,203
8,1294
8,1433
8,1942
8,1698
8,184
8,1761
8,704
8,374
8,1284
9,1323
9,1310
9,315
9,844
9,1232
9,538
9,2169
9,1877
9,59
9,78
10,1080
10,790
10,598
10,1231
10,1993
10,400
10,1678
10,1022
10,1592
10,37
11,1562
11,1608
11,1561
11,1457
11,1883
11,1592
11,1534
11,758
11,1817
11,725
12,1098
12,1529
12,1505
12,2005
12,250
12,510
12,87
12,241
12,778
12,342
13,674
13,48
13,132
13,689
13,1793
13,959
13,1669
13,5
13,1546
13,45
14,1622
14,33
14,780
14,1317
14,73
14,1861
14,1762
14,13
14,595
14,1599
15,756
15,92
15,1217
15,496
15,556
15,1703
15,1530
15,324
15,391
15,332
16,971
16,1544
16,1487
16,610
16,1543
16,1684
16,334
16,1691
16,1255
16,1631
17,1082
17,83
17,1518
17,1833
17,774
17,36
17,745
17,527
17,528
17,737
18,741
18,83
18,1569
18,563
18,1423
18,311
18,634
18,502
18,487
18,528
19,1136
19,717
19,1589
19,758
19,278
19,925
19,1687
19,603
19,1695
19,1542
20,527
20,1636
20,315
20,169
20,487
20,636
20,172
20,388
20,1031
20,1490
21,328
21,1362
21,1411
21,890
21,822
21,819
21,404
21,288
21,133
21,548
22,37
22,325
22,1064
22,490
22,1598
22,1625
22,1478
22,1351
22,1796
22,155
23,984
23,773
23,1464
23,495
23,1450
23,260
23,79
23,172
23,1353
23,324
24,148
24,381
24,455
24,1352
24,244
24,111
24,1466
24,1943
24,1584
24,891
25,567
25,116
25,282
25,656
25,1342
25,1454
25,1210
25,134
25,815
25,533
26,1019
26,601
26,834
26,1487
26,872
26,1166
26,1543
26,1488
26,1517
26,1992
27,1763
27,657
27,1879
27,14
27,1023
27,1041
27,284
27,1620
27,1634
27,1127
28,471
28,144
28,647
28,1013
28,506
28,1471
28,1699
28,2101
28,1361
28,1355
29,401
29,761
29,625
29,103
29,729
29,1088
29,226
29,1022
29,911
29,1743
30,571
30,570
30,1013
30,29
30,1841
30,506
30,115
30,1423
30,196
30,1905
31,216
31,1590
31,2135
31,364
31,577
31,848
31,1136
31,795
31,448
31,104
32,1323
32,1622
32,151
32,2171
32,982
32,1059
32,947
32,1446
32,493
32,1452
33,693
33,493
33,349
33,1540
33,1349
33,55
33,1142
33,466
33,2075
33,351
34,1344
34,875
34,1128
34,1685
34,533
34,1729
34,1919
34,679
34,1521
34,1801
35,1310
35,503
35,134
35,2
35,711
35,247
35,1572
35,1671
35,2118
35,486
36,240
36,158
36,203
36,890
36,313
36,324
36,1084
36,547
36,1470
36,1898
37,645
37,1719
37,802
37,1763
37,516
37,800
37,163
37,628
37,21
37,371
38,693
38,1540
38,122
38,1294
38,1318
38,1739
38,1612
38,1421
38,1088
38,989
39,143
39,536
39,406
39,572
39,1283
39,1759
39,533
39,169
39,171
39,1285
40,1019
40,977
40,1173
40,907
40,954
40,1589
40,1658
40,439
40,580
40,1821
41,474
41,590
41,1647
41,1501
41,1867
41,2085
41,1790
41,973
41,1693
41,253
42,1276
42,1078
42,838
42,862
42,2135
42,1275
42,393
42,977
42,1457
42,996
43,267
43,419
43,1684
43,1164
43,923
43,1601
43,1258
43,1484
43,1121
43,590
44,554
44,237
44,615
44,92
44,2021
44,648
44,1624
44,1461
44,451
44,160
45,1906
45,624
45,1184
45,1479
45,2031
45,944
45,1402
45,1354
45,1378
45,1495
46,33
46,1217
46,195
46,1097
46,200
46,613
46,691
46,1110
46,466
46,1879
47,63
47,756
47,433
47,1061
47,339
47,595
47,259
47,1396
47,571
47,1956
48,790
48,297
48,1136
48,1820
48,257
48,1149
48,1534
48,63
48,278
48,1871
49,1250
49,143
49,313
49,1252
49,472
49,881
49,1191
49,404
49,19
49,1342
50,1471
50,498
50,695
50,41
50,379
50,1284
50,1205
50,1309
50,696
50,1613
51,1615
51,1232
51,124
51,1721
51,1634
51,2171
51,823
51,426
51,2075
51,1961
52,195
52,132
52,645
52,624
52,385
52,900
52,532
52,1904
52,1420
52,1191
53,527
53,513
53,549
53,291
53,1898
53,239
53,1270
53,2095
53,897
53,989
54,878
54,115
54,179
54,569
54,205
54,686
54,891
54,980
54,190
54,1381
55,1276
55,730
55,1015
55,1589
55,862
55,461
55,265
55,1173
55,2081
55,1587
56,1377
56,532
56,380
56,696
56,1250
56,1711
56,1586
56,115
56,141
56,283
57,982
57,756
57,349
57,183
57,1406
57,137
57,68
57,1125
57,839
57,1294
58,1378
58,756
58,379
58,343
58,569
58,383
58,1699
58,1495
58,86
58,68
59,768
59,785
59,1019
59,2058
59,1123
59,418
59,923
59,1914
59,1302
59,1251
60,237
60,1518
60,378
